,Company site,Traded on,Revenue,Operating income,Net income,Total assets,Total equity
428,https://www.hioscar.com,NYSE,US$2.71 billion,US$−544 million,US$−571 million,US$3.32 billion,US$1.39 billion
429,https://www.petsathome.com,LSE,£1.317.8 million,£144.5 million,£124.5 million,,
430,https://www.mobileye.com,Nasdaq,US$1.87 billion,US$−37 million,US$−82 million,US$15.44 billion,US$14.79 billion
431,http://bombardier.com,TSX,US$ 6.1 billion,,US$ 0.241 billion,US$ 15.98 billion,US$ -4.095 billion
432,http://bombardier.com,TSX,US$ 6.1 billion,,US$ 0.241 billion,US$ 15.98 billion,US$ -4.095 billion
434,https://sonos.com,Nasdaq,US$1.75 billion,US$90 million,US$67 million,US$1.19 billion,US$561 million
435,http://www.pgecorp.com,NYSE,US$21.68 billion,US$1.84 billion,US$1.80 billion,US$118.6 billion,US$22.82 billion
436,http://camparigroup.com,BIT,€ 1.772 billion,€ 231.8 million,€ 186.9 million,€ 4.555 billion,€ 1.998 billion
437,https://www.snapon.com,NYSE,US$4.25 billion,US$1.12 billion,US$0.82 billion,US$6.76 billion,US$4.18 billion
438,http://www.broadridge.com,NYSE,US$4.993 billion,US$0.678 billion,US$0.547 billion,US$8.119 billion,US$1.809 billion
440,http://dupont.com,NYSE,US$16.65 billion,US$2.20 billion,US$6.52 billion,US$45.71 billion,US$26.43 billion
442,https://www.kornferry.com,NYSE,US $1.926 billion,,US $102.7 million,,
443,http://equinor.com,OSE,US$90.92 billion,US$33.66 billion,US$8.58 billion,US$147.12 billion,US$39.01 billion
444,http://www.cerner.com,Nasdaq,US$5.505 billion,US$914.567 million,US$780.088 million,US$7.521 billion,US$4.482 billion
445,https://www.amcor.com,NYSE,US$14.54 billion,US$1.24 billion,US$815 million,US$17.46 billion,US$4.14 billion
446,https://www.thecheesecakefactory.com,Nasdaq,US$2.483 billion,US$110.500 million,US$127.923 million,US$2.841 billion,US$571.742 million
447,https://www.gd.com,NYSE,US$39.41 billion,US$4.21 billion,US$3.39 billion,US$51.59 billion,US$18.57 billion
448,http://riteaid.com,NYSE,US$24.04 billion,US$47.14 million,US$−90.9 million,US$9.335 billion,US$615.2 million
449,https://www.safran-group.com,Euronext,€24.64 billion,€3.82 billion,€2.44  billion,€40.62 billion,€12.30 billion
450,https://analog.com,Nasdaq,US$12.01 billion,US$3.28 billion,US$2.75 billion,US$50.30 billion,US$36.47 billion
451,http://pzcussons.com,LSE,£592.8 million,£67.9 million,£50.2 million,,
452,https://www.globalpaymentsinc.com,NYSE,US$7.4 billion,US$893 million,US$605 million,US$44.2 billion,US$27.4 billion
